Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
Second Class,Home Office,United States,Los Angeles,California,90036,West,Office Supplies,Appliances,245.76,4,0.0,22.1184
Second Class,Home Office,United States,Los Angeles,California,90036,West,Technology,Phones,2668.6079999999997,8,0.2,66.7152
Second Class,Home Office,United States,Los Angeles,California,90036,West,Furniture,Chairs,2676.672,3,0.2,89.2224
Second Class,Home Office,United States,Los Angeles,California,90036,West,Office Supplies,Paper,671.76,4,0.0,109.7208
Second Class,Home Office,United States,Los Angeles,California,90036,West,Office Supplies,Paper,69.36,4,0.0,11.3288
Same Day,Corporate,United States,Coral Springs,Florida,33065,South,Office Supplies,Paper,46.656,3,0.2,5.4432
Same Day,Corporate,United States,Coral Springs,Florida,33065,South,Furniture,Furnishings,47.135999999999996,4,0.2,2.5532
Same Day,Corporate,United States,Coral Springs,Florida,33065,South,Office Supplies,Storage,74.016,2,0.2,2.1588
Same Day,Corporate,United States,Coral Springs,Florida,33065,South,Furniture,Furnishings,167.904,1,0.2,-2.0988
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Technology,Accessories,1295.784,9,0.2,64.7892
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Furniture,Chairs,287.952,4,0.3,-4.1136
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Binders,3266.3759999999997,4,0.8,-1850.9464
Standard Class,Corporate,United States,Denver,Colorado,80219,West,Furniture,Chairs,1632.0240000000001,3,0.2,40.8006
Standard Class,Corporate,United States,Denver,Colorado,80219,West,Office Supplies,Binders,5.6160000000000005,3,0.7,-1.4352
Standard Class,Corporate,United States,Denver,Colorado,80219,West,Furniture,Chairs,2563.056,3,0.2,10.6794
Standard Class,Corporate,United States,Denver,Colorado,80219,West,Office Supplies,Storage,1780.704,2,0.2,0.0
Standard Class,Corporate,United States,Denver,Colorado,80219,West,Office Supplies,Storage,1014.1200000000001,3,0.2,-33.804
First Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,815.8799999999999,5,0.2,16.9975
Second Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Storage,33.63,1,0.0,3.363
Second Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Binders,27.432000000000002,3,0.2,3.2004
Second Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Fasteners,42.21,7,0.0,6.8943
Second Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Art,125.58,7,0.0,10.465
Second Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Binders,25.632,2,0.2,2.8836
Second Class,Corporate,United States,New York City,New York,10009,East,Furniture,Bookcases,1737.408,4,0.2,21.7176
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Furniture,Chairs,424.11600000000004,2,0.3,-48.4704
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Binders,9.108,2,0.7,-2.3276
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Binders,13.509,1,0.7,-3.6024
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Art,14.015999999999998,1,0.2,1.5768
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,287.64,3,0.2,28.764
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,51.072,2,0.2,1.7024
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,776.0880000000001,3,0.2,64.674
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,5795.874,7,0.4,-386.3916
Standard Class,Home Office,United States,Los Angeles,California,90036,West,Office Supplies,Storage,749.25,9,0.0,44.955
Standard Class,Home Office,United States,Los Angeles,California,90036,West,Technology,Phones,767.808,8,0.2,28.7928
First Class,Consumer,United States,New York City,New York,10024,East,Furniture,Furnishings,341.37,3,0.0,20.4822
First Class,Consumer,United States,New York City,New York,10024,East,Technology,Accessories,234.45000000000002,1,0.0,34.386
First Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,5.184,1,0.2,0.6048
First Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Paper,121.68,4,0.0,19.8744
First Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Storage,548.8199999999999,3,0.0,3.6588
First Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Storage,581.58,2,0.0,11.6316
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Envelopes,45.839999999999996,2,0.0,7.4872
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Furniture,Furnishings,26.19,1,0.0,2.9682
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Art,17.04,2,0.0,1.7608
Second Class,Consumer,United States,Buffalo,New York,14215,East,Office Supplies,Art,8.34,2,0.0,0.7228
Second Class,Consumer,United States,Buffalo,New York,14215,East,Office Supplies,Envelopes,239.88,2,0.0,35.982
First Class,Corporate,United States,Cincinnati,Ohio,45231,East,Technology,Copiers,2519.964,2,0.4,69.999
Same Day,Consumer,United States,Boynton Beach,Florida,33437,South,Furniture,Furnishings,143.856,3,0.2,13.7862
Same Day,Consumer,United States,Boynton Beach,Florida,33437,South,Office Supplies,Binders,112.27499999999999,5,0.7,-29.94
Same Day,Consumer,United States,Boynton Beach,Florida,33437,South,Furniture,Furnishings,191.904,2,0.2,0.0
Same Day,Consumer,United States,Boynton Beach,Florida,33437,South,Furniture,Furnishings,495.144,3,0.2,41.262
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Furniture,Furnishings,37.05,1,0.0,5.434
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Art,122.91,1,0.0,10.6522
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Fasteners,68.88,2,0.0,10.7912
Standard Class,Home Office,United States,New York City,New York,10024,East,Technology,Phones,66.0,4,0.0,5.5
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,1195.056,3,0.2,124.485
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Fasteners,26.160000000000004,4,0.0,3.5752
Standard Class,Consumer,United States,Gulfport,Mississippi,39503,South,Office Supplies,Envelopes,146.07,9,0.0,23.8581
Second Class,Consumer,United States,Fresno,California,93727,West,Furniture,Tables,2294.064,6,0.2,95.586
Second Class,Consumer,United States,Fresno,California,93727,West,Furniture,Tables,10832.544,12,0.2,135.4068
Second Class,Consumer,United States,Fresno,California,93727,West,Furniture,Bookcases,764.9235,3,0.15,11.9988
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Art,116.46000000000001,6,0.0,17.469
Standard Class,Consumer,United States,New York City,New York,10009,East,Furniture,Chairs,3425.8140000000003,9,0.1,139.5702
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Appliances,5113.68,13,0.0,511.368
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Art,9.600000000000001,2,0.0,1.376
Standard Class,Consumer,United States,Milwaukee,Wisconsin,53209,Central,Technology,Phones,3299.88,4,0.0,285.9896
Standard Class,Home Office,United States,Chester,Pennsylvania,19013,East,Office Supplies,Art,15.744,2,0.2,0.5904
Standard Class,Home Office,United States,Chester,Pennsylvania,19013,East,Technology,Phones,107.72999999999999,3,0.4,-8.379
Standard Class,Home Office,United States,Chester,Pennsylvania,19013,East,Furniture,Furnishings,20.088,1,0.2,0.5022
Standard Class,Home Office,United States,Chester,Pennsylvania,19013,East,Furniture,Furnishings,131.61599999999999,2,0.2,11.5164
Second Class,Home Office,United States,Charlotte,North Carolina,28205,South,Office Supplies,Binders,83.646,3,0.7,-20.4468
Second Class,Home Office,United States,Charlotte,North Carolina,28205,South,Office Supplies,Storage,1620.144,3,0.2,-47.2542
Second Class,Home Office,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,767.04,8,0.2,76.704
Standard Class,Consumer,United States,Jacksonville,Florida,32216,South,Technology,Phones,2591.64,3,0.2,107.985
Standard Class,Corporate,United States,Greenville,North Carolina,27834,South,Office Supplies,Binders,52.848,4,0.7,-14.0928
Second Class,Consumer,United States,Long Beach,New York,11561,East,Office Supplies,Binders,52.416000000000004,3,0.2,6.3336
First Class,Consumer,United States,La Porte,Indiana,46350,Central,Technology,Phones,209.70000000000002,2,0.0,18.873
First Class,Consumer,United States,La Porte,Indiana,46350,Central,Furniture,Furnishings,125.55000000000001,5,0.0,10.881
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,19.71,3,0.0,1.7739
Standard Class,Corporate,United States,Los Angeles,California,90045,West,Office Supplies,Storage,428.58000000000004,1,0.0,41.4294
Standard Class,Corporate,United States,Los Angeles,California,90045,West,Furniture,Chairs,876.816,6,0.2,18.267
Standard Class,Corporate,United States,Louisville,Colorado,80027,West,Furniture,Furnishings,87.984,3,0.2,3.666
Standard Class,Consumer,United States,Florence,Alabama,35630,South,Office Supplies,Paper,37.44,2,0.0,5.616
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,307.008,4,0.2,-12.792
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,146.376,3,0.8,-126.8592
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,134.54399999999998,8,0.8,-67.272
Same Day,Consumer,United States,Fort Worth,Texas,76106,Central,Office Supplies,Paper,31.104,2,0.2,3.6288
Same Day,Consumer,United States,Fort Worth,Texas,76106,Central,Furniture,Chairs,1165.29,5,0.3,-88.784
Same Day,Consumer,United States,Fort Worth,Texas,76106,Central,Office Supplies,Paper,43.056,3,0.2,5.2026
Same Day,Consumer,United States,Fort Worth,Texas,76106,Central,Technology,Accessories,191.976,1,0.2,-7.1991
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Art,259.05600000000004,3,0.2,5.397
First Class,Corporate,United States,Macon,Georgia,31204,South,Technology,Accessories,98.91,3,0.0,12.8583
First Class,Corporate,United States,Macon,Georgia,31204,South,Technology,Accessories,251.64,4,0.0,30.1968
First Class,Consumer,United States,Cedar Rapids,Iowa,52402,Central,Technology,Phones,835.1999999999999,3,0.0,80.736
First Class,Consumer,United States,Jacksonville,Florida,32216,South,Office Supplies,Labels,45.36,3,0.2,4.914
First Class,Consumer,United States,Jacksonville,Florida,32216,South,Office Supplies,Binders,52.29,1,0.7,-13.363
First Class,Consumer,United States,Jacksonville,Florida,32216,South,Office Supplies,Paper,754.92,3,0.2,88.074
Standard Class,Consumer,United States,Austin,Texas,78745,Central,Office Supplies,Binders,8.315999999999999,7,0.8,-4.851
Standard Class,Consumer,United States,Providence,Rhode Island,2908,East,Office Supplies,Storage,44.7,5,0.0,1.043
Standard Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Art,46.44,3,0.0,4.4892
Standard Class,Corporate,United States,New York City,New York,10009,East,Furniture,Furnishings,119.64000000000001,2,0.0,11.1664
Standard Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Binders,36.576,4,0.2,4.1148
Standard Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Art,62.46,3,0.0,7.4952
First Class,Home Office,United States,San Francisco,California,94122,West,Office Supplies,Binders,39.647999999999996,4,0.2,4.4604
First Class,Home Office,United States,San Francisco,California,94122,West,Office Supplies,Paper,97.19999999999999,5,0.0,15.552
Standard Class,Consumer,United States,San Diego,California,92105,West,Office Supplies,Supplies,98.82,3,0.0,9.2232
Standard Class,Consumer,United States,San Diego,California,92105,West,Office Supplies,Paper,342.6,5,0.0,52.532
Standard Class,Consumer,United States,San Diego,California,92105,West,Office Supplies,Labels,9.24,1,0.0,1.4784
Standard Class,Consumer,United States,Pueblo,Colorado,81001,West,Office Supplies,Appliances,2537.1839999999997,13,0.2,84.5728
Standard Class,Corporate,United States,Fairfield,California,94533,West,Office Supplies,Binders,41.712,2,0.2,4.5188
Standard Class,Corporate,United States,Fairfield,California,94533,West,Office Supplies,Binders,62.16,2,0.2,6.475
Second Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Technology,Phones,344.85,5,0.0,2.299
First Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Storage,80.88,2,0.0,7.0096
Second Class,Consumer,United States,Springfield,Virginia,22153,South,Furniture,Furnishings,1718.28,6,0.0,166.1004
Second Class,Consumer,United States,Springfield,Virginia,22153,South,Furniture,Furnishings,859.14,3,0.0,83.0502
Second Class,Home Office,United States,Arlington,Virginia,22204,South,Furniture,Bookcases,185.88,2,0.0,4.3372
Standard Class,Consumer,United States,Columbus,Georgia,31907,South,Furniture,Furnishings,71.97,1,0.0,5.5177
Standard Class,Consumer,United States,Columbus,Georgia,31907,South,Technology,Phones,863.9100000000001,3,0.0,77.7519
Second Class,Consumer,United States,Houston,Texas,77036,Central,Technology,Phones,1259.832,7,0.2,52.493
First Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Paper,140.28,7,0.0,22.4448
First Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Binders,53.135999999999996,3,0.2,6.4206
First Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Appliances,65.34,2,0.0,5.6628
First Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,485.82,3,0.0,9.7164
First Class,Consumer,United States,Pasadena,California,91104,West,Furniture,Chairs,484.70400000000006,2,0.2,-8.0784
Standard Class,Consumer,United States,Lawrence,Massachusetts,1841,East,Office Supplies,Labels,11.07,1,0.0,1.7343
Standard Class,Consumer,United States,Lawrence,Massachusetts,1841,East,Office Supplies,Labels,366.36,4,0.0,56.1752
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Furniture,Chairs,466.11600000000004,2,0.3,-13.3176
Standard Class,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Paper,116.64000000000001,6,0.0,18.6624
Standard Class,Corporate,United States,Los Angeles,California,90032,West,Furniture,Furnishings,551.52,8,0.0,62.5056
Standard Class,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Supplies,1737.8999999999999,5,0.0,28.965
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Technology,Accessories,42.599999999999994,1,0.2,3.3725
Standard Class,Corporate,United States,Deltona,Florida,32725,South,Technology,Phones,1727.7599999999998,2,0.2,71.99
Standard Class,Corporate,United States,Deltona,Florida,32725,South,Office Supplies,Binders,15.552,6,0.7,-3.6288
Standard Class,Consumer,United States,Cincinnati,Ohio,45231,East,Office Supplies,Binders,15.687000000000001,3,0.7,-4.1832
Standard Class,Consumer,United States,Cincinnati,Ohio,45231,East,Office Supplies,Storage,856.6560000000001,2,0.2,35.694
Standard Class,Consumer,United States,Murray,Kentucky,42071,South,Office Supplies,Appliances,218.39999999999998,5,0.0,19.656
First Class,Consumer,United States,Wilmington,North Carolina,28403,South,Office Supplies,Paper,32.448,4,0.2,3.5152
Standard Class,Corporate,United States,Lawrence,Massachusetts,1841,East,Office Supplies,Storage,138.78,3,0.0,12.4902
First Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,52.38,6,0.8,-30.555
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19120,East,Furniture,Furnishings,153.216,6,0.2,5.1072
First Class,Corporate,United States,Norwich,Connecticut,6360,East,Office Supplies,Paper,34.019999999999996,1,0.0,5.5566
Second Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,Art,263.76,4,0.0,26.376
Standard Class,Consumer,United States,San Francisco,California,94109,West,Furniture,Furnishings,111.14999999999999,3,0.0,16.302
Standard Class,Home Office,United States,Lorain,Ohio,44052,East,Technology,Phones,8.91,1,0.4,-0.6435
Standard Class,Home Office,United States,Lorain,Ohio,44052,East,Office Supplies,Storage,82.32000000000001,2,0.2,2.401
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Binders,3.24,3,0.8,-1.728
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,23.88,2,0.8,-13.93
Standard Class,Home Office,United States,Los Angeles,California,90049,West,Office Supplies,Binders,422.20799999999997,8,0.2,52.776
Standard Class,Consumer,United States,Middletown,Connecticut,6457,East,Office Supplies,Storage,1657.6799999999998,4,0.0,0.0
Standard Class,Consumer,United States,Los Angeles,California,90008,West,Furniture,Furnishings,75.33,3,0.0,6.5286
Second Class,Consumer,United States,New York City,New York,10011,East,Furniture,Furnishings,89.34,2,0.0,8.0406
Second Class,Consumer,United States,New York City,New York,10011,East,Technology,Phones,2032.7400000000002,3,0.0,176.1708
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Paper,225.12,8,0.0,36.0192
First Class,Corporate,United States,Jacksonville,North Carolina,28540,South,Technology,Machines,2087.1000000000004,2,0.5,-27.828
First Class,Corporate,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Binders,46.980000000000004,5,0.7,-12.528
First Class,Corporate,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Binders,86.562,6,0.7,-21.1596
Standard Class,Consumer,United States,Freeport,New York,11520,East,Office Supplies,Art,143.46,3,0.0,14.346
Standard Class,Consumer,United States,Freeport,New York,11520,East,Office Supplies,Labels,39.150000000000006,5,0.0,6.003
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Appliances,281.34000000000003,2,0.0,36.5742
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Paper,141.54,7,0.0,23.59
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Art,59.04,6,0.0,5.7072
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Binders,160.2,10,0.0,25.098
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Binders,107.64000000000001,6,0.0,17.2224
Second Class,Consumer,United States,Evanston,Illinois,60201,Central,Furniture,Chairs,774.837,3,0.3,-70.1043
First Class,Corporate,United States,Arlington,Virginia,22204,South,Office Supplies,Storage,94.19999999999999,2,0.0,7.85
Standard Class,Corporate,United States,San Francisco,California,94109,West,Technology,Phones,551.88,5,0.2,20.6955
Standard Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Paper,52.83,3,0.0,8.4528
Standard Class,Corporate,United States,San Francisco,California,94109,West,Furniture,Tables,902.712,1,0.2,11.2839
Same Day,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Storage,662.328,3,0.2,-44.1552
Same Day,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Storage,844.2719999999999,11,0.2,-35.178
First Class,Consumer,United States,Louisville,Kentucky,40214,South,Office Supplies,Paper,237.42000000000002,3,0.0,36.4044
First Class,Consumer,United States,Fort Worth,Texas,76106,Central,Furniture,Furnishings,5.964,1,0.6,-1.4413
Second Class,Consumer,United States,Los Angeles,California,90049,West,Furniture,Chairs,436.70400000000006,2,0.2,0.0
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Art,369.76800000000003,7,0.2,9.2442
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Paper,71.03999999999999,4,0.2,7.4
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Technology,Phones,928.7280000000001,4,0.4,-56.7556
First Class,Corporate,United States,Tucson,Arizona,85705,West,Office Supplies,Binders,115.16399999999999,14,0.7,-25.592
First Class,Corporate,United States,Tucson,Arizona,85705,West,Technology,Machines,287.98199999999997,2,0.7,-63.996
First Class,Corporate,United States,Tucson,Arizona,85705,West,Technology,Accessories,719.856,6,0.2,-35.9928
First Class,Corporate,United States,Tucson,Arizona,85705,West,Technology,Phones,604.752,2,0.2,15.1188
First Class,Corporate,United States,Tucson,Arizona,85705,West,Furniture,Chairs,2697.408,4,0.2,-146.1096
First Class,Home Office,United States,Pico Rivera,California,90660,West,Furniture,Furnishings,437.70000000000005,5,0.0,62.737
Standard Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Furniture,Bookcases,1770.174,7,0.7,-786.744
Standard Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Office Supplies,Art,42.12,3,0.2,1.5795
Standard Class,Home Office,United States,Clinton,Maryland,20735,East,Technology,Accessories,147.24,3,0.0,4.908
Second Class,Consumer,United States,Vallejo,California,94591,West,Office Supplies,Labels,88.80000000000001,2,0.0,14.8
Second Class,Consumer,United States,Vallejo,California,94591,West,Office Supplies,Binders,51.264,4,0.2,5.5536
Standard Class,Consumer,United States,Provo,Utah,84604,West,Furniture,Tables,2738.25,5,0.0,118.6575
Second Class,Consumer,United States,Pleasant Grove,Utah,84062,West,Office Supplies,Appliances,3269.25,3,0.0,305.13
Second Class,Consumer,United States,Pleasant Grove,Utah,84062,West,Office Supplies,Paper,1343.52,8,0.0,219.4416
Second Class,Consumer,United States,Pleasant Grove,Utah,84062,West,Office Supplies,Art,49.199999999999996,5,0.0,4.264
Second Class,Consumer,United States,Pleasant Grove,Utah,84062,West,Technology,Phones,1199.8799999999999,5,0.2,34.9965
Second Class,Consumer,United States,Pleasant Grove,Utah,84062,West,Office Supplies,Storage,476.70000000000005,5,0.0,7.945
Second Class,Consumer,United States,Pleasant Grove,Utah,84062,West,Office Supplies,Binders,39.552,1,0.2,4.7792
Standard Class,Home Office,United States,Aurora,Illinois,60505,Central,Furniture,Furnishings,251.856,3,0.6,-90.2484
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Storage,242.94,1,0.0,1.6196
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Paper,1046.52,9,0.0,170.9316
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Fasteners,28.349999999999998,5,0.0,0.189
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Furniture,Furnishings,56.519999999999996,3,0.0,7.1592
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Furniture,Bookcases,719.9399999999999,2,0.0,52.7956
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Envelopes,503.88,2,0.0,78.9412
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Technology,Phones,314.54999999999995,3,0.0,28.3095
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Technology,Phones,1454.49,3,0.0,126.0558
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Paper,368.90999999999997,3,0.0,60.2553
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Storage,463.32,3,0.0,1.5444
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Paper,1027.1100000000001,7,0.0,160.9139
First Class,Corporate,United States,Burlington,North Carolina,27217,South,Office Supplies,Art,28.656,3,0.2,1.5522
Standard Class,Corporate,United States,Aurora,Illinois,60505,Central,Furniture,Tables,1957.3500000000001,5,0.5,-430.617
Standard Class,Corporate,United States,Aurora,Illinois,60505,Central,Furniture,Tables,199.935,3,0.5,-42.6528
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Binders,51.648,4,0.2,6.0256
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Paper,34.68,2,0.0,5.6644
First Class,Consumer,United States,New York City,New York,10035,East,Technology,Accessories,265.20000000000005,4,0.0,11.492
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Paper,19.44,1,0.0,3.1104
Standard Class,Home Office,United States,Salem,Virginia,24153,South,Technology,Phones,65.4,2,0.0,6.104
Standard Class,Home Office,United States,Salem,Virginia,24153,South,Office Supplies,Envelopes,755.37,3,0.0,118.3413
Standard Class,Home Office,United States,Columbus,Ohio,43229,East,Furniture,Tables,615.528,2,0.4,-58.1332
Standard Class,Home Office,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,1258.1999999999998,5,0.2,146.79
First Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Supplies,30.912,1,0.2,-2.1896
First Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Furniture,Tables,464.29200000000003,3,0.4,-36.1116
First Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Technology,Accessories,350.35200000000003,2,0.2,21.897
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Art,226.44,2,0.0,19.6248
Standard Class,Consumer,United States,New York City,New York,10024,East,Furniture,Furnishings,119.94,2,0.0,9.995
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Furniture,Tables,1179.4950000000001,3,0.5,-204.4458
Standard Class,Home Office,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Labels,71.03999999999999,2,0.2,8.88
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Chairs,1224.018,2,0.1,72.5344
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,495.84000000000003,4,0.0,14.8752
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,1004.3039999999999,7,0.2,108.7996
Second Class,Home Office,United States,Costa Mesa,California,92627,West,Technology,Accessories,719.91,3,0.0,26.3967
Second Class,Home Office,United States,Costa Mesa,California,92627,West,Furniture,Furnishings,113.22,3,0.0,12.8316
First Class,Corporate,United States,Houston,Texas,77041,Central,Technology,Phones,2839.032,7,0.2,118.293
First Class,Corporate,United States,Houston,Texas,77041,Central,Technology,Accessories,453.59999999999997,3,0.2,32.13
First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,14.783999999999999,4,0.6,-1.4784
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Office Supplies,Paper,258.81600000000003,4,0.2,31.2736
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Office Supplies,Binders,217.76399999999998,2,0.7,-48.392
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Office Supplies,Appliances,182.016,2,0.2,14.4096
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Office Supplies,Binders,231.09300000000002,9,0.7,-59.0571
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Office Supplies,Storage,359.712,6,0.2,-1.4988
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Technology,Phones,791.8799999999999,5,0.2,23.0965
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Office Supplies,Storage,1090.944,4,0.2,-86.3664
Second Class,Corporate,United States,Salinas,California,93905,West,Office Supplies,Binders,29.183999999999997,2,0.2,3.2832
Second Class,Corporate,United States,Salinas,California,93905,West,Office Supplies,Envelopes,44.25,5,0.0,7.08
Second Class,Corporate,United States,Salinas,California,93905,West,Office Supplies,Binders,89.4,5,0.2,9.3125
Second Class,Corporate,United States,Salinas,California,93905,West,Office Supplies,Labels,1282.26,14,0.0,196.6132
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Technology,Phones,662.2560000000001,8,0.4,-40.4712
Second Class,Consumer,United States,Florence,Alabama,35630,South,Office Supplies,Binders,458.28,6,0.0,74.8524
Second Class,Consumer,United States,Florence,Alabama,35630,South,Office Supplies,Supplies,21.81,1,0.0,1.9629
Second Class,Consumer,United States,Florence,Alabama,35630,South,Furniture,Chairs,5459.58,14,0.0,163.7874
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Paper,101.69999999999999,5,0.0,15.594
Standard Class,Consumer,United States,Parma,Ohio,44134,East,Office Supplies,Paper,93.312,6,0.2,10.8864
Standard Class,Consumer,United States,Parma,Ohio,44134,East,Office Supplies,Art,15.744,2,0.2,0.5904
Same Day,Consumer,United States,Amarillo,Texas,79109,Central,Technology,Accessories,791.64,3,0.2,42.8805
Same Day,Consumer,United States,Amarillo,Texas,79109,Central,Furniture,Chairs,7360.289999999999,5,0.3,-350.49
Second Class,Consumer,United States,Providence,Rhode Island,2908,East,Office Supplies,Binders,89.1,5,0.0,13.365
